Timeframe,Prediction,Accuracy,Precision,Recall,F1_Score,Hit_Rate,Long_Average_RoR,Long_Investment,Long_Return,Short_Average_RoR,Short_Investment,Short_Return,Total_Investment,Total_Return
14.0,5.0,0.5763888888888888,0.782608695652174,0.54,0.6390532544378699,0.5763888888888888,0.02177333343450087,6900.0,150.23600069805602,-0.004128452644518891,7500.0,-30.963394833891677,14400.0,119.27260586416435
30.0,5.0,0.6428571428571429,0.8111111111111111,0.6886792452830188,0.7448979591836735,0.6428571428571429,0.01718026752866108,9000.0,154.62240775794973,-0.006897671923546305,5000.0,-34.48835961773153,14000.0,120.1340481402182
90.0,5.0,0.5407407407407407,0.7,0.6428571428571429,0.6702127659574467,0.5407407407407407,0.013398184031667447,9000.0,120.58365628500704,-0.01218515017173773,4500.0,-54.83317577281978,13500.0,65.75048051218727
90.0,30.0,0.7407407407407407,0.7808219178082192,0.75,0.7651006711409396,0.7407407407407407,0.05433574952714571,7300.0,396.6509715481637,0.014742920407641911,6200.0,91.40610652737986,13500.0,488.05707807554353
180.0,5.0,0.6615384615384615,0.6615384615384615,1.0,0.7962962962962964,0.6615384615384615,0.008987327815360756,13000.0,116.83526159968983,0.0,0.0,0.0,13000.0,116.83526159968983
180.0,30.0,0.6,0.6086956521739131,0.7777777777777778,0.6829268292682927,0.6,0.03122560251873683,9200.0,287.2755431723789,-0.008461958851330453,3800.0,-32.155443635055725,13000.0,255.12009953732317
180.0,90.0,0.7923076923076923,0.8210526315789474,0.8863636363636364,0.8524590163934427,0.7923076923076923,0.07522923739622468,9500.0,714.6777552641346,0.03244258415176495,3500.0,113.54904453117734,13000.0,828.226799795312
365.0,5.0,0.46551724137931033,0.5862068965517241,0.2537313432835821,0.3541666666666667,0.46551724137931033,0.004313935418254935,2900.0,12.510412712939312,-0.006709621773287147,8700.0,-58.373709427598165,11600.0,-45.86329671465885
365.0,30.0,0.4396551724137931,0.4174757281553398,0.8958333333333334,0.5695364238410596,0.4396551724137931,-0.007656736408486224,10300.0,-78.86438500740812,-0.0013039401422627152,1300.0,-1.6951221849415328,11600.0,-80.55950719234966
365.0,90.0,0.46551724137931033,0.47368421052631576,0.9642857142857143,0.6352941176470588,0.46551724137931033,-0.011363817475273935,11400.0,-129.5475192181229,-0.06769073082046634,200.0,-13.538146164093268,11600.0,-143.08566538221615
