Image_Type,Timeframe,Prediction,Accuracy,Precision,Recall,F1_Score,Hit_Rate,Long_Average_RoR,Long_Investment,Long_Return,Short_Average_RoR,Short_Investment,Short_Return,Total_Investment,Total_Return
MPA,7,5,0.4906832298136646,0.49706457925636005,0.5194274028629857,0.508,0.4906832298136646,0.0030595930553783137,51100,156.3452051298318,-0.0019203234837515235,45500,-87.3747185106943,96600,68.97048661913752
MPA,14,5,0.4888888888888889,0.4838709677419355,0.2848101265822785,0.3585657370517929,0.4888888888888889,0.00043080183624079305,27900,12.019371231118125,-0.0030762160440226285,66600,-204.87598853190707,94500,-192.85661730078894
MPA,30,5,0.48049052396878483,0.4707379134860051,0.417607223476298,0.4425837320574163,0.48049052396878483,0.0017302944578857745,39300,68.0005721949109,-0.0017573470761456501,50400,-88.57029263774075,89700,-20.569720442829848
MPA,30,30,0.5036496350364964,0.5051369863013698,0.7125603864734299,0.591182364729459,0.5036496350364964,0.008502840191773017,58400,496.5658671995442,-0.015506190165875382,23800,-369.04732594783394,82200,127.51854125171025
MPA,90,5,0.4825662482566248,0.4774066797642436,0.6982758620689655,0.5670945157526254,0.4825662482566248,0.002323755946963968,50900,118.27917770046598,-0.0013946913627256709,20800,-29.00958034469395,71700,89.26959735577202
MPA,90,30,0.4984423676012461,0.0,0.0,0.0,0.4984423676012461,0.0,0,0.0,-0.009075635516957012,64200,-582.6558001886403,64200,-582.6558001886403
MPA,90,90,0.43506493506493504,0.43506493506493504,1.0,0.6063348416289593,0.43506493506493504,0.011933095842613494,46200,551.3090279287431,0.0,0,0.0,46200,551.3090279287431
MPA,180,5,0.4899328859060403,0.4899328859060403,1.0,0.6576576576576576,0.4899328859060403,0.001484988398895427,44700,66.37898143062554,0.0,0,0.0,44700,66.37898143062554
MPA,180,30,0.41935483870967744,0.41935483870967744,1.0,0.5909090909090909,0.41935483870967744,-0.005028877977019754,37200,-187.07426074513472,0.0,0,0.0,37200,-187.07426074513472
MPA,180,90,0.20833333333333334,0.20833333333333334,1.0,0.3448275862068966,0.20833333333333334,-0.04588950153288666,19200,-881.0784294314237,0.0,0,0.0,19200,-881.0784294314237
CPA,7,5,0.4886128364389234,0.49448123620309054,0.45807770961145194,0.47558386411889597,0.4886128364389234,0.0036883146394474458,45300,167.08065316696926,-0.0014939428942213817,51300,-76.63927047355685,96600,90.44138269341241
CPA,14,5,0.47619047619047616,0.46464646464646464,0.2911392405063291,0.357976653696498,0.47619047619047616,4.011106059383325e-05,29700,1.1912984996368436,-0.003328766377521425,64800,-215.70406126338835,94500,-214.5127627637515
CPA,30,5,0.5027870680044593,0.4959785522788204,0.417607223476298,0.4534313725490196,0.5027870680044593,0.002146670217551654,37300,80.07079911467667,-0.0014599249182819657,52400,-76.50006571797502,89700,3.5707333967016552
CPA,30,30,0.46228710462287104,0.4768976897689769,0.6980676328502415,0.5666666666666667,0.46228710462287104,0.003696111223246139,60600,223.98434012871598,-0.02970503949160473,21600,-641.6288530186621,82200,-417.6445128899461
CPA,90,5,0.5285913528591353,0.5109170305676856,0.6724137931034483,0.5806451612903226,0.5285913528591353,0.004277640978065529,45800,195.91595679540126,0.0018774980212448369,25900,48.62719875024126,71700,244.54315554564252
CPA,90,30,0.4984423676012461,0.0,0.0,0.0,0.4984423676012461,0.0,0,0.0,-0.00907563551695701,64200,-582.6558001886401,64200,-582.6558001886401
CPA,90,90,0.43506493506493504,0.43506493506493504,1.0,0.6063348416289593,0.43506493506493504,0.011933095842613498,46200,551.3090279287434,0.0,0,0.0,46200,551.3090279287434
CPA,180,5,0.4899328859060403,0.4899328859060403,1.0,0.6576576576576576,0.4899328859060403,0.0014849883988954271,44700,66.37898143062557,0.0,0,0.0,44700,66.37898143062557
