Timeframe,Prediction,Accuracy,Precision,Recall,F1_Score,Hit_Rate,Long_Average_RoR,Long_Investment,Long_Return,Short_Average_RoR,Short_Investment,Short_Return
7.0,5.0,0.5173611111111112,0.5883152717497826,0.6466969373219372,0.6106219568717322,0.5173611111111112,0.000443143763340644,11420.0,3.5219057988323863,-0.002852705588290771,5860.0,-18.127245148372772
14.0,5.0,0.5416666666666666,0.47464698289775004,0.620842623560015,0.5301098658643271,0.5416666666666666,-0.006691447441917341,10480.0,-36.93699689651138,0.006409294539884131,6800.0,52.79515834029
30.0,5.0,0.4965277777777778,0.4968540255408457,0.6965377578631435,0.5729079921745664,0.4965277777777778,-0.0016536526352708403,12020.0,-12.621653193409372,0.0023629071768451857,5260.0,13.898953883218464
30.0,30.0,0.4826388888888889,0.48832061347884614,0.601229655827357,0.5023123112507849,0.4826388888888889,0.0006449734964329206,10580.0,11.908144464388489,-0.0028760650519777135,6700.0,-23.281648901883784
90.0,5.0,0.4846335697399527,0.4708066055213618,0.7398791398853636,0.561176379152078,0.4846335697399527,-0.0015706671647846445,12800.0,-16.562841459137235,0.0002056079018218396,4120.0,2.5382919887262583
90.0,30.0,0.5011820330969267,0.45445413568435805,0.4284484203348301,0.4169318181379436,0.5011820330969267,0.0067430057242727215,7200.0,19.368780269648504,-0.004164524625077389,9720.0,-11.955952570907765
90.0,90.0,0.3828502415458937,0.4913192689229861,0.5597153804050357,0.430865433030288,0.3828502415458937,0.007620937631000272,10560.0,-72.25944665858569,-0.01753870762616456,6000.0,-133.9531435235223
180.0,5.0,0.5181159420289855,0.5218452473711941,0.5941358024691358,0.5422777749342351,0.5181159420289855,0.00524137017488732,10100.0,60.78276088086115,-0.00583890760430106,6460.0,-50.77710421964544
180.0,30.0,0.41358024691358025,0.6008621503208336,0.5168435016349304,0.43651194369790813,0.41358024691358025,-0.0023813857674279794,9020.0,-43.97140798444441,-0.008641708238575907,7180.0,-103.2705517448712
180.0,90.0,0.47095959595959597,0.524673229573411,0.6360863170921913,0.5087914855350782,0.47095959595959597,0.005823382080618439,10880.0,27.354999971520034,-0.014335491363124698,4960.0,-96.87200094314008
