Timeframe,Prediction,Accuracy,Precision,Recall,F1_Score,Hit_Rate,Long_Average_RoR,Long_Investment,Long_Return,Short_Average_RoR,Short_Investment,Short_Return
14.0,5.0,0.7647907647907648,0.7962161798541074,0.7586541101262844,0.7516445349554267,0.7647907647907648,0.017217269547152435,7200.0,93.50091187421216,0.014925110636923922,6660.0,82.53012977812608
30.0,5.0,0.7874251497005988,0.8297222225290035,0.7586583205597611,0.787959088878819,0.7874251497005988,0.018901824636754834,6280.0,113.89753728479168,0.013031514180433959,7080.0,95.08346879269473
90.0,5.0,0.5486862442040186,0.6802854168971108,0.4098897199688288,0.5056722341884631,0.5486862442040186,0.010710307385951627,4440.0,43.961579825837546,-0.0018374520019739057,8500.0,9.582029549778476
90.0,30.0,0.732612055641422,0.6750014992544617,0.8437163948245177,0.7416596082384678,0.732612055641422,0.023726629182415977,8380.0,162.45872858430954,0.020424729135378416,4560.0,122.3048803742601
180.0,5.0,0.5482315112540193,0.555438015065273,0.5772324878826329,0.5486337679720164,0.5482315112540193,0.0024244243007692174,7260.0,32.943004354826094,-0.002624567990072113,5180.0,10.279172431478026
180.0,30.0,0.6832797427652733,0.6522241654941667,0.8340200603667381,0.706821038768499,0.6832797427652733,0.019465530058691206,8180.0,136.86951789265873,0.017055648632018774,4260.0,100.65386733419987
180.0,90.0,0.8842443729903537,0.8657165523810526,0.850254900336604,0.8570539518921624,0.8842443729903537,0.05407974806327135,6320.0,370.69924198121174,0.0622709341104271,6120.0,466.3147647066523
365.0,5.0,0.5452898550724637,0.4446169772256729,0.6514435470012029,0.4989396228526664,0.5452898550724637,-0.0028155714336335303,7100.0,-3.4833390029438247,0.0012090663624616416,3940.0,16.94260003763092
365.0,30.0,0.7210144927536232,0.5559318151658634,0.7614725416540529,0.6152717593741395,0.7210144927536232,0.004805945520541603,7740.0,157.61074095871396,0.003943927609042009,3300.0,42.89189784874675
365.0,90.0,0.6376811594202898,0.7160990933104876,0.6845112959138745,0.678976132584865,0.6376811594202898,0.022618031575645767,7900.0,220.49496263528954,0.0087640900163835,3140.0,-0.31316128534772647
