Timeframe,Prediction,Accuracy,Precision,Recall,F1_Score,Hit_Rate,Long_Average_RoR,Long_Investment,Long_Return,Short_Average_RoR,Short_Investment,Short_Return,Total_Investment,Total_Return
7.0,5.0,0.6666666666666666,0.8333333333333334,0.7352941176470589,0.78125,0.6666666666666666,0.019014223717088715,3000.0,57.042671151266134,-0.003947990104035909,1200.0,-4.737588124843091,4200.0,52.30508302642304
14.0,5.0,0.6190476190476191,0.95,0.5588235294117647,0.7037037037037037,0.6190476190476191,0.022601700568991617,2000.0,45.20340113798323,-0.00753493551733,2200.0,-16.576858138126,4200.0,28.62654299985723
30.0,5.0,0.6842105263157895,0.88,0.7096774193548387,0.7857142857142856,0.6842105263157895,0.016815664070532445,2500.0,42.039160176331116,-0.015752837921352274,1300.0,-20.47868929775796,3800.0,21.560470878573156
30.0,30.0,0.8421052631578947,0.95,0.7916666666666666,0.8636363636363635,0.8421052631578947,0.05730755575747389,2000.0,114.61511151494778,0.022350255448036895,1800.0,40.23045980646641,3800.0,154.84557132141418
90.0,5.0,0.5833333333333334,0.9333333333333333,0.5,0.6511627906976745,0.5833333333333334,0.017284454529664536,1500.0,25.9266817944968,-0.014345095227639408,2100.0,-30.12469997804275,3600.0,-4.198018183545948
90.0,30.0,0.7222222222222222,1.0,0.6428571428571429,0.782608695652174,0.7222222222222222,0.06574028706566443,1800.0,118.33251671819595,0.006674281402026223,1800.0,12.0137065236472,3600.0,130.34622324184315
90.0,90.0,0.8611111111111112,1.0,0.75,0.8571428571428571,0.8611111111111112,0.11201084907952992,1500.0,168.0162736192949,0.028177283564229914,2100.0,59.172295484882824,3600.0,227.18856910417773
180.0,5.0,0.5555555555555556,0.6060606060606061,0.8695652173913043,0.7142857142857143,0.5555555555555556,0.009433630010850359,3300.0,31.13097903580618,-0.00763731436814849,300.0,-2.2911943104445474,3600.0,28.839784725361632
180.0,30.0,0.6944444444444444,0.7096774193548387,0.9166666666666666,0.7999999999999999,0.6944444444444444,0.02309392348816153,3100.0,71.59116281330074,0.007986890361385083,500.0,3.9934451806925413,3600.0,75.58460799399329
180.0,90.0,0.8333333333333334,0.95,0.7916666666666666,0.8636363636363635,0.8333333333333334,0.10272360199068264,2000.0,205.44720398136528,0.029155488814288366,1600.0,46.64878210286139,3600.0,252.09598608422667
