Timeframe,Prediction,Accuracy,Precision,Recall,F1_Score,Hit_Rate,Long_Average_RoR,Long_Investment,Long_Returns,Long_RoR,Short_Average_RoR,Short_Investment,Short_Returns,Short_RoR,Total_Investment,Total_Returns,Total_RoR
7.0,1.0,0.6468926553672316,0.44,0.3893805309734513,0.4131455399061033,0.6468926553672316,-0.0009246125678708165,10000.0,9501.959301612782,0.9501959301612782,-0.0005271946014501796,25400.0,23118.292916702183,0.9101690124685898,35400.0,30865.223662959575,0.8718989735299315
7.0,5.0,0.46,0.463855421686747,0.4350282485875706,0.4489795918367347,0.46,-0.00045850649341369387,16600.0,16966.78359858717,1.0220953975052514,-0.0018388504062578142,18400.0,17815.4650331296,0.9682317952787826,35000.0,35255.4075760369,1.00729735931534
14.0,1.0,0.6311239193083573,0.3950617283950617,0.2882882882882883,0.33333333333333337,0.6311239193083573,-0.000357405993845614,8100.0,7774.693829061483,0.9598387443285781,-0.0002165039896075659,26600.0,24642.07299513353,0.9263937216215613,34700.0,31053.36840803129,0.8949097523928325
14.0,5.0,0.47230320699708456,0.42105263157894735,0.13953488372093023,0.2096069868995633,0.47230320699708456,-0.004213106889716475,5700.0,5549.827461768244,0.9736539406610953,-0.0016047518552970113,28600.0,26636.48342242247,0.9313455742105758,34300.0,31777.5529438135,0.9264592694989359
30.0,1.0,0.6465256797583081,0.42105263157894735,0.3047619047619048,0.35359116022099446,0.6465256797583081,-0.0008512215851257788,7600.0,6796.541119881167,0.8942817263001536,-0.0003951450607220193,25500.0,22149.245921789217,0.8685978792858516,33100.0,26184.9833980615,0.7910871117239124
30.0,5.0,0.4801223241590214,0.4772727272727273,0.25301204819277107,0.3307086614173228,0.4801223241590214,-0.0006476328139303946,8800.0,8804.243014519056,1.0004821607408019,-0.0017342467600518622,23900.0,22354.23531598175,0.9353236533883578,32700.0,30699.91041045267,0.938835180747788
