Timeframe,Prediction,Accuracy,Precision,Recall,F1_Score,Hit_Rate,Average_RoR
14.0,5.0,0.6513761467889908,0.7818181818181819,0.6231884057971014,0.6935483870967741,0.6513761467889908,0.008377686600608888
30.0,5.0,0.6095238095238096,0.9024390243902439,0.5,0.6434782608695653,0.6095238095238096,0.010109289420172916
90.0,5.0,0.5643564356435643,0.7307692307692307,0.5588235294117647,0.6333333333333334,0.5643564356435643,0.009874214455776038
90.0,30.0,0.8217821782178217,0.7419354838709677,0.9583333333333334,0.8363636363636364,0.8217821782178217,0.004660064915322515
180.0,5.0,0.47959183673469385,0.5490196078431373,0.5,0.5233644859813085,0.47959183673469385,0.005803643045431299
180.0,30.0,0.6224489795918368,0.5454545454545454,0.45,0.4931506849315069,0.6224489795918368,0.0006933835221348036
180.0,90.0,0.8673469387755102,0.8888888888888888,0.8333333333333334,0.8602150537634408,0.8673469387755102,-0.009884248261464007
365.0,5.0,0.41379310344827586,0.36,0.9,0.5142857142857143,0.41379310344827586,0.0009985837730302175
365.0,30.0,0.39080459770114945,0.2033898305084746,0.6666666666666666,0.3116883116883117,0.39080459770114945,-0.020136127915336602
365.0,90.0,0.5862068965517241,0.4426229508196721,0.9310344827586207,0.6,0.5862068965517241,-0.04090259199207169
