Timeframe,Prediction,Accuracy,Precision,Recall,F1_Score,Hit_Rate,Average_RoR
14.0,5.0,0.7048611111111112,0.9602649006622517,0.6473214285714286,0.7733333333333334,0.7048611111111112,0.011492027359999995
30.0,5.0,0.5627240143369175,0.8932038834951457,0.45320197044334976,0.6013071895424837,0.5627240143369175,0.010925302725534288
90.0,5.0,0.654275092936803,0.7911392405063291,0.6756756756756757,0.728862973760933,0.654275092936803,0.010851842210549571
90.0,30.0,0.8698884758364313,0.9044943820224719,0.8994413407821229,0.9019607843137254,0.8698884758364313,0.012787569986119622
180.0,5.0,0.5846153846153846,0.6724137931034483,0.6964285714285714,0.6842105263157895,0.5846153846153846,0.007907517870119965
180.0,30.0,0.7076923076923077,0.7702702702702703,0.7307692307692307,0.75,0.7076923076923077,0.011407256865945844
180.0,90.0,0.9115384615384615,0.9272727272727272,0.9329268292682927,0.9300911854103343,0.9115384615384615,0.014727819447822399
365.0,5.0,0.43722943722943725,0.3741935483870968,0.6373626373626373,0.4715447154471545,0.43722943722943725,-0.002968294689138898
365.0,30.0,0.45021645021645024,0.3551912568306011,0.8783783783783784,0.5058365758754864,0.45021645021645024,-0.016734633455409965
365.0,90.0,0.5930735930735931,0.4720496894409938,0.8941176470588236,0.6178861788617888,0.5930735930735931,-0.0318146174950247
