Image_Type,Timeframe,Prediction,Accuracy,Precision,Recall,F1_Score,Hit_Rate,Long_Average_RoR,Long_Investment,Long_Returns,Long_RoR,Short_Average_RoR,Short_Investment,Short_Returns,Short_RoR,Total_Investment,Total_Returns,Total_RoR
MPA,7,1,0.6497175141242938,0.44329896907216493,0.3805309734513274,0.40952380952380957,0.6497175141242938,-0.00047773144325516875,9700,10195.308291032594,1.0510627104157313,-0.00034158024115570166,25700,25946.493021822716,1.009591168164308,35400,37853.19942654826,1.0692994188290468
MPA,7,5,0.5514285714285714,0.5666666666666667,0.480225988700565,0.5198776758409785,0.5514285714285714,0.007974607551816445,15000,18202.301255608723,1.2134867503739148,0.004669773679638512,20000,22299.81689543943,1.1149908447719716,35000,47315.64034275674,1.3518754383644784
MPA,14,1,0.6455331412103746,0.4411764705882353,0.40540540540540543,0.4225352112676056,0.6455331412103746,0.0012744967017425338,10200,11636.876825768213,1.1408702770360992,0.0004137081136474316,24500,26871.58120878783,1.0967992330117482,34700,43346.93321854947,1.2491911590360079
MPA,14,5,0.4897959183673469,0.4919786096256685,0.5348837209302325,0.5125348189415041,0.4897959183673469,8.306747858511564e-05,18700,19452.186749057037,1.0402238903239056,-0.001303066150036471,15600,15250.17781609913,0.9775755010319955,34300,35841.435302796046,1.0449398047462404
MPA,30,1,0.6525679758308157,0.43902439024390244,0.34285714285714286,0.3850267379679144,0.6525679758308157,-0.0003424047162757838,8200,8948.084394828564,1.0912298042473858,-0.0002576158102376305,24900,26525.874294613583,1.065296156410184,33100,39355.543835793345,1.1889892397520647
MPA,30,5,0.42201834862385323,0.43575418994413406,0.46987951807228917,0.4521739130434783,0.42201834862385323,-0.0045811867371498595,17900,16778.500672709262,0.9373464062966068,-0.007956254824164495,14800,13036.341329625357,0.8808338736233349,32700,27598.636420625608,0.8439949975726485
CPA,7,1,0.6384180790960452,0.41935483870967744,0.34513274336283184,0.3786407766990291,0.6384180790960452,-0.0012096394700298865,9300,9875.065227301673,1.0618349706775994,-0.0005898185543833081,26100,26878.744285054217,1.0298369457875178,35400,39124.54574264224,1.1052131565718148
CPA,7,5,0.5028571428571429,0.507537688442211,0.5706214689265536,0.5372340425531915,0.5028571428571429,0.0004384646719483629,19900,20608.597739976543,1.035607926631987,-0.0011588207094505986,15100,14617.018301963686,0.9680144570836878,35000,35490.43357008274,1.0140123877166498
CPA,14,1,0.7002881844380403,0.5432098765432098,0.3963963963963964,0.45833333333333337,0.7002881844380403,0.0028059084493434632,8100,9275.027863887246,1.1450651683811415,0.0007467609348221906,26600,28630.700612337354,1.0763421282833592,34700,42534.1491388314,1.2257679867098388
CPA,14,5,0.4606413994169096,0.43564356435643564,0.2558139534883721,0.3223443223443224,0.4606413994169096,-0.003419209884582373,10100,9966.04395105339,0.9867370248567714,-0.0023312071745616772,24200,22530.901777812476,0.9310289990831602,34300,32067.77785126408,0.9349206370630927
CPA,30,1,0.6404833836858006,0.40540540540540543,0.2857142857142857,0.335195530726257,0.6404833836858006,-0.001290442031122383,7400,7050.790469342507,0.9528095228841226,-0.0005119138533759226,25700,23399.123503183888,0.9104717316413964,33100,28770.038935742443,0.8691854663366297
CPA,30,5,0.5015290519877675,0.5060240963855421,0.7590361445783133,0.6072289156626506,0.5015290519877675,0.001189618709663019,24900,26362.133097658447,1.0587202047252389,-0.000785618324620879,7800,7815.685418267589,1.0020109510599473,32700,35478.91284587143,1.0849820442162519
MLC,7,1,0.6242937853107344,0.38636363636363635,0.3008849557522124,0.3383084577114428,0.6242937853107344,0.0009344475550714878,8800,9635.660956888152,1.0949614723736536,0.00015332786791363506,26600,27780.78403355264,1.044390377201227,35400,40487.45684396622,1.1437134701685372
MLC,7,5,0.5114285714285715,0.5178571428571429,0.4915254237288136,0.5043478260869566,0.5114285714285715,0.0034525874575781173,16800,18784.412220210346,1.1181197750125207,0.001746144483672302,18200,19358.19376725169,1.0636370201786642,35000,42128.734814746436,1.2036781375641838
MLC,14,1,0.6829971181556196,0.5058823529411764,0.38738738738738737,0.43877551020408156,0.6829971181556196,0.0016816863302666417,8500,9954.539144794588,1.171122252328775,0.00043627161197918636,26200,29039.48062198,1.108377122976336,34700,45111.064883203515,1.3000306882767583
MLC,14,5,0.48104956268221577,0.4727272727272727,0.3023255813953488,0.3687943262411347,0.48104956268221577,-0.0018717401203297325,11000,10901.913650283157,0.9910830591166506,-0.0018227611636797282,23300,21403.155193859573,0.9185903516677928,34300,31634.598706835553,0.922291507487917
MLC,30,1,0.6676737160120846,0.4528301886792453,0.22857142857142856,0.3037974683544304,0.6676737160120846,0.0009167662776717359,5300,5510.359544468416,1.0396904800883804,4.503403849656926e-05,27800,27456.0095579634,0.9876262430922086,33100,33959.15533224434,1.0259563544484696
MLC,30,5,0.5198776758409785,0.5302013422818792,0.4759036144578313,0.5015873015873017,0.5198776758409785,0.003938205645767112,14900,15613.672344046998,1.047897472754832,0.0012881986134425812,17800,17914.138814005248,1.006412292921643,32700,35078.57559446924,1.0727393148155733
API,7,1,0.692090395480226,0.5222222222222223,0.415929203539823,0.4630541871921182,0.692090395480226,0.0010985514336670586,9000,9821.285052130468,1.0912538946811632,0.00021751309488170944,26400,27742.83046295408,1.050864790263412,35400,40937.84579215738,1.1564363218123554
API,7,5,0.4657142857142857,0.47093023255813954,0.4576271186440678,0.4641833810888252,0.4657142857142857,-0.0004827994117928461,17200,17436.469057844843,1.0137482010374907,-0.0019397634588378323,17800,16705.125913085245,0.9384902198362497,35000,33679.95635173472,0.9622844671924206
API,14,1,0.6397694524495677,0.43859649122807015,0.45045045045045046,0.4444444444444444,0.6397694524495677,0.0014919335115778363,11400,13859.197509203528,1.2157190797546955,0.0006070396763337148,23300,26778.965115303203,1.1493118075237425,34700,48285.90161322344,1.3915245421678224
API,14,5,0.5014577259475219,0.5029239766081871,0.5,0.5014577259475218,0.5014577259475219,0.002843732042628185,17100,19298.267132936002,1.1285536335050292,0.0015550362871413574,17200,18025.91105209381,1.0480180844240585,34300,41109.1326168381,1.198516985913647
API,30,1,0.6525679758308157,0.43243243243243246,0.3047619047619048,0.3575418994413408,0.6525679758308157,0.0003616654808873262,7400,7668.628602427734,1.0363011624902343,-3.620974485950815e-05,25700,25006.725233515197,0.9730243281523423,33100,32896.63091752154,0.9938559189583548
