Image_Type,Timeframe,Prediction,Accuracy,Precision,Recall,F1_Score,Hit_Rate,Long_Average_RoR,Long_Investment,Long_Returns,Long_RoR,Short_Average_RoR,Short_Investment,Short_Returns,Short_RoR,Total_Investment,Total_Returns,Total_RoR
MPA,7,1,0.6271186440677966,0.45217391304347826,0.4297520661157025,0.44067796610169496,0.6271186440677966,-0.0004186350295562452,11500,11590.392052183985,1.0078601784507812,-2.6897744131551114e-05,23900,23472.476597015575,0.9821119915069279,35400,35082.21370395692,0.9910229859874836
MPA,7,5,0.5457142857142857,0.5257142857142857,0.5476190476190477,0.5364431486880468,0.5457142857142857,0.0014722530781207136,17500,18424.535558329488,1.0528306033331136,0.0029373947551371033,17500,18103.50108461687,1.034485776263821,35000,38630.99444151318,1.103742698328948
MPA,14,1,0.6426512968299711,0.46987951807228917,0.3277310924369748,0.38613861386138615,0.6426512968299711,-0.0007055709031247055,8300,8247.902285466022,0.9937231669236171,-5.038145193455755e-05,26400,25300.121211162972,0.9583379246652641,34700,32674.865802568776,0.9416387839356997
MPA,14,5,0.5335276967930029,0.5071428571428571,0.4382716049382716,0.4701986754966888,0.5335276967930029,0.00082941455657227,14000,14548.466317557064,1.0391761655397902,0.0021096199284810365,20300,20810.139894709002,1.0251300440743352,34300,36812.32134790822,1.0732455203471785
MPA,30,1,0.6586102719033232,0.5119047619047619,0.3739130434782609,0.43216080402010043,0.6586102719033232,-1.6418545839274293e-05,8400,8609.675414787538,1.0249613589032784,0.0002222848141705753,24700,24741.291749256307,1.0016717307391216,33100,34218.71231553754,1.0337979551521914
MPA,30,5,0.5107033639143731,0.4666666666666667,0.3202614379084967,0.37984496124031003,0.5107033639143731,-0.0009089937963106732,10500,10875.740726030996,1.035784831050571,0.001044886268055511,22200,22636.652338741296,1.019669024267626,32700,35020.768817296215,1.0709715234647161
CPA,7,1,0.6440677966101694,0.47572815533980584,0.4049586776859504,0.43749999999999994,0.6440677966101694,-0.0005221628177899807,10300,10591.71058463717,1.0283214159841914,-4.8080887174663425e-05,25100,25002.33593032747,0.9961090012082657,35400,36279.287389929734,1.0248386268341734
CPA,7,5,0.5171428571428571,0.49673202614379086,0.4523809523809524,0.4735202492211838,0.5171428571428571,0.001301843037382069,15300,16005.591213672398,1.0461170727890456,0.002312597858869669,19700,20272.441636397667,1.029057951086176,35000,38098.172853579636,1.0885192243879895
CPA,14,1,0.6368876080691642,0.46534653465346537,0.3949579831932773,0.42727272727272725,0.6368876080691642,-0.00048226262816900234,10100,10182.972187320975,1.0082150680515816,-1.4011560148137523e-05,24600,24058.34811691172,0.9779816307687691,34700,34352.98726396267,0.9899996329672239
CPA,14,5,0.49854227405247814,0.47023809523809523,0.4876543209876543,0.4787878787878787,0.49854227405247814,-0.0013411666371695933,16800,16539.31484019591,0.9844830262021376,0.000496107500097377,17500,17013.718170748485,0.9722124668999135,34300,33081.68670765738,0.9644806620308275
CPA,30,1,0.6616314199395771,0.5154639175257731,0.43478260869565216,0.4716981132075471,0.6616314199395771,0.0010462981990008251,9700,10420.37335861787,1.0742652947028732,0.0006742497104859453,23400,24559.93257518644,1.0495697681703609,33100,37518.02475990522,1.1334750682750823
CPA,30,5,0.5626911314984709,0.543859649122807,0.40522875816993464,0.4644194756554307,0.5626911314984709,0.001512213257473204,11400,11861.423922147933,1.0404757826445554,0.0023464854998727206,21300,21821.184671170275,1.0244687639047076,32700,35059.69906792373,1.072162051006842
MLC,7,1,0.6242937853107344,0.4411764705882353,0.371900826446281,0.40358744394618834,0.6242937853107344,0.0014329444100083593,10200,11177.387226320843,1.0958222770902788,0.0007455349102078576,25200,27029.74343953533,1.0726088666482274,35400,41615.39680411013,1.175576180907066
MLC,7,5,0.5,0.4744525547445255,0.3869047619047619,0.4262295081967213,0.5,0.00017292856385176984,13700,14280.002274594748,1.0423359324521715,0.001314981252232679,21300,21828.300900725677,1.0248028591889988,35000,37625.91039760671,1.0750260113601917
MLC,14,1,0.5965417867435159,0.3894736842105263,0.31092436974789917,0.3457943925233645,0.5965417867435159,-0.00031482495714453464,9500,9220.194820563098,0.9705468232171682,6.0925836190065774e-05,25200,24038.090454118912,0.953892478338052,34700,32319.52601920989,0.9313984443576337
MLC,14,5,0.521865889212828,0.49375,0.4876543209876543,0.4906832298136646,0.521865889212828,0.0006993382275035387,16000,16606.388984851765,1.0378993115532353,0.0023170979451480806,18300,18629.661090116682,1.0180142672194907,34300,36796.0452970008,1.0727709999125596
MLC,30,1,0.6102719033232629,0.39705882352941174,0.23478260869565218,0.29508196721311475,0.6102719033232629,-0.001084401298964337,6800,6598.941822329947,0.9704326209308746,-6.637179231537552e-05,26300,24633.21348451907,0.936624086863843,33100,30059.139606662626,0.9081311059414691
MLC,30,5,0.48623853211009177,0.4336283185840708,0.3202614379084967,0.3684210526315789,0.48623853211009177,-0.0013462495099886725,11300,11641.708471501224,1.0302396877434712,0.0008190789976272157,21400,21793.841464252044,1.0184038067407497,32700,35053.92289343512,1.0719854095851717
API,7,1,0.635593220338983,0.46,0.38016528925619836,0.416289592760181,0.635593220338983,9.1650260441856e-05,10000,10157.952118219848,1.0157952118219848,0.00020031296691225628,25400,25232.662247275868,0.99341189949905,35400,35981.84558485597,1.0164363159563832
API,7,5,0.4685714285714286,0.44155844155844154,0.40476190476190477,0.422360248447205,0.4685714285714286,-0.0004093765299266279,15400,15779.570496093234,1.024647434811249,0.000986509223822283,19600,19781.362460868782,1.0092531867790195,35000,36740.62643613159,1.049732183889474
