Image_Type,Timeframe,Prediction,Accuracy,Precision,Recall,F1_Score,Hit_Rate,Long_Average_RoR,Long_Investment,Long_Return,Short_Average_RoR,Short_Investment,Short_Return
ColoredOHLC,180,90,0.8529411764705882,0.7529722116119175,0.7786702916460702,0.7281988684801984,0.8529411764705882,0.04999342922640097,1180.0,60.1500815435552,0.0783568277344298,1540.0,125.78437653890919
Line,7,5,0.8758169934640523,0.8638171232480696,0.9282525445678789,0.8907697864696066,0.8758169934640523,0.013977899268867828,1780.0,23.67044829071856,0.01725108231162354,1280.0,23.224603616500485
Line,14,5,0.7254901960784313,0.7477450980392157,0.7762318979879532,0.7382034437157899,0.7254901960784313,0.010255622867548497,1760.0,16.631137532043375,0.014291321447943917,1300.0,16.095389874981255
Line,30,5,0.589041095890411,0.6290932811480757,0.5480045069086165,0.5763157760775391,0.589041095890411,0.0060699098085488555,1360.0,6.785445685316942,0.004103929829036568,1560.0,7.261665833000913
Line,30,30,0.726027397260274,0.6607289210028936,0.777260394294343,0.6900969389675305,0.726027397260274,0.023162655992378545,1680.0,32.91243330083883,0.048242512695774155,1240.0,53.1994536524676
Line,90,5,0.44755244755244755,0.5971743188937758,0.41962625966555467,0.4284530828648475,0.44755244755244755,0.003404877370537762,1340.0,-0.27886559472846917,-0.006189429166689287,1520.0,-2.6900063728616743
Line,90,30,0.5874125874125874,0.6665079782634642,0.715973420518875,0.6437175290833829,0.5874125874125874,0.02312884254430817,1840.0,13.25150169147821,0.006361488993751954,1020.0,9.947404667942163
Line,90,90,0.8251748251748252,0.6942061206767088,0.7547202797202797,0.7003130559280292,0.8251748251748252,0.04746937653663515,1260.0,56.70099170364758,0.08404149296254682,1600.0,129.194965218624
Line,180,5,0.47058823529411764,0.2699579831932773,0.4117647058823529,0.3189842987003231,0.47058823529411764,-0.00019940312381651129,1200.0,-1.9284940426684856,-0.0001713297673564297,1520.0,-0.13741365850309747
Line,180,30,0.5514705882352942,0.5637254901960784,0.782563025210084,0.6298909993335438,0.5514705882352942,0.011026320497441922,2040.0,7.643820634725998,0.011319612673344286,680.0,11.803366202650981
Line,180,90,0.8161764705882353,0.6589141091219097,0.6577761539398368,0.649955579185871,0.8161764705882353,0.036912137900786894,1120.0,58.24461558916348,0.0672452014754759,1600.0,113.01610005338914
AlgoTrading,7,5,0.869281045751634,0.8904720580417174,0.8861197110423117,0.8805895152456554,0.869281045751634,0.017062186774537764,1740.0,27.244084387644243,0.021368897033869273,1320.0,27.403321507536855
AlgoTrading,14,5,0.7516339869281046,0.8540920716112532,0.6826453388372893,0.7184477255047279,0.7516339869281046,0.017528223508006754,1440.0,22.900587610385205,0.014391542473422374,1620.0,21.744763874536574
AlgoTrading,30,5,0.6917808219178082,0.7059185107130312,0.6780016116035456,0.690788665666185,0.6917808219178082,0.011731219461843268,1500.0,16.640985443544828,0.011335293924393124,1420.0,16.017537337976528
AlgoTrading,30,30,0.6575342465753424,0.6340043998299225,0.807855553117457,0.6737085008779138,0.6575342465753424,0.01575459610198823,1800.0,24.442282804244797,0.04842645631582002,1120.0,44.29615818614691
AlgoTrading,90,5,0.5804195804195804,0.6492188076104161,0.6315803907135177,0.6270713157809932,0.5804195804195804,0.007632350883926402,1660.0,9.800394983788628,0.005417548154133657,1200.0,8.42631662504713
AlgoTrading,90,30,0.7062937062937062,0.6633568155981948,0.7304513668150031,0.6815423037564067,0.7062937062937062,0.01818466761591626,1660.0,22.82303949099225,0.02677910653346094,1200.0,27.212480304449105
AlgoTrading,90,90,0.7622377622377622,0.5236863136863137,0.6331876456876457,0.5487668360008785,0.7622377622377622,0.023186299115864027,1180.0,43.059235146304005,0.07130209500188203,1680.0,118.93500800823453
AlgoTrading,180,5,0.6102941176470589,0.5697070494864612,0.6390056022408963,0.5758236798555739,0.6102941176470589,0.003993879464879719,1580.0,8.121043263225861,0.006578820926290058,1140.0,6.543283599723416
AlgoTrading,180,30,0.6470588235294118,0.6713235294117647,0.5917881138469374,0.6131723198821137,0.6470588235294118,0.01983649782046632,1300.0,19.979470336604678,0.01080094751242304,1420.0,20.167798451513068
AlgoTrading,180,90,0.6617647058823529,0.5470063025210083,0.7580532212885155,0.5828427627735585,0.6617647058823529,0.01145729471376378,1620.0,4.598696659734247,0.049705262066838785,1100.0,61.558242120638305
