Image_Type,Timeframe,Prediction,Accuracy,Precision,Recall,F1_Score,Hit_Rate,Long_Average_RoR,Long_Investment,Long_Return,Short_Average_RoR,Short_Investment,Short_Return,Total_Investment,Total_Return
MPA,7,5,0.8042813455657493,0.8008048289738431,0.8105906313645621,0.805668016194332,0.8042813455657493,0.021451384701844888,49700,1066.133819681691,0.015053969851823917,48400,728.6121408282777,98100,1794.7459605099687
MPA,14,5,0.69375,0.872093023255814,0.46296296296296297,0.6048387096774194,0.69375,0.02806204762080435,25800,724.0008286167522,0.0053961474411376165,70200,378.80955036786065,96000,1102.8103789846127
MPA,30,5,0.5328947368421053,0.5173852573018081,0.8248337028824834,0.6358974358974359,0.5328947368421053,0.004279442472856929,71900,307.69191379841317,0.0039309233899123604,19300,75.86682142530854,91200,383.5587352237217
MPA,30,30,0.7664473684210527,0.9211356466876972,0.6083333333333333,0.7327478042659975,0.7664473684210527,0.060941633804638906,31700,1931.8497916070532,0.016391143011171453,59500,975.2730091647015,91200,2907.1228007717546
MPA,90,5,0.5450819672131147,0.5707865168539326,0.6414141414141414,0.6040428061831153,0.5450819672131147,0.007688534379760769,44500,342.1397798993542,-3.256250689683501e-05,28700,-0.9345439479391757,73200,341.20523595141503
MPA,90,30,0.8224043715846995,0.8994082840236687,0.76,0.8238482384823849,0.8224043715846995,0.059824376350065316,33800,2022.0639206322073,0.029039920792699327,39400,1144.1728792323534,73200,3166.2367998645605
MPA,90,90,0.703551912568306,0.9570552147239264,0.4262295081967213,0.5897920604914934,0.703551912568306,0.10344473822451322,16300,1686.1492330595656,0.0029610525446680993,56900,168.48388979161484,73200,1854.6331228511804
MPA,180,5,0.44805194805194803,0.5015105740181269,0.6484375,0.565587734241908,0.44805194805194803,0.0016516638602235437,33100,54.67007377339928,-0.01711455925004594,13100,-224.20072617560186,46200,-169.53065240220258
MPA,180,30,0.487012987012987,0.555256064690027,0.7410071942446043,0.6348228043143297,0.487012987012987,0.02086582417860989,37100,774.1220770264267,-0.02732197334921003,9100,-248.62995747781122,46200,525.4921195486155
MPA,180,90,0.696969696969697,0.8958333333333334,0.6515151515151515,0.7543859649122807,0.696969696969697,0.10093669980186798,24000,2422.4807952448314,-0.019023631093523705,22200,-422.3246102762263,46200,2000.156184968605
CPA,7,5,0.7266260162601627,0.728952772073922,0.7215447154471545,0.7252298263534219,0.7266260162601627,0.016438404094981,48700,800.5502794255748,0.009331403989093188,49700,463.7707782579314,98400,1264.3210576835063
CPA,14,5,0.5306334371754933,0.5825688073394495,0.26024590163934425,0.3597733711048159,0.5306334371754933,0.009351723639656962,21800,203.86757534452175,-0.0019007560054231374,74500,-141.6063224040237,96300,62.26125294049805
CPA,30,5,0.4961748633879781,0.4961748633879781,1.0,0.6632578524470416,0.4961748633879781,0.0026804203137547806,91500,245.25845870856244,0.0,0,0.0,91500,245.25845870856244
CPA,30,30,0.7092896174863388,0.6823529411764706,0.8405797101449275,0.7532467532467533,0.7092896174863388,0.034874519686938873,59500,2075.033921372863,0.03380070026347911,32000,1081.6224084313317,91500,3156.6563298041947
CPA,90,5,0.5374149659863946,0.5636363636363636,0.6262626262626263,0.5933014354066987,0.5374149659863946,0.008101839454214032,44000,356.4809359854174,0.0006898282829342824,29500,20.34993434656135,73500,376.8308703319787
CPA,90,30,0.8244897959183674,0.8501291989664083,0.8225,0.8360864040660737,0.8244897959183674,0.05236171761993095,38700,2026.398471891328,0.03370761812066429,34800,1173.0251105991174,73500,3199.4235824904454
